,title,release_year,runtime_min,genre,rating,gross_usd_mil
2310,The Magdalene Sisters,2002,114,Drama,7.7,4.89
2021,The Count of Monte Cristo,2002,131,"Action, Adventure, Drama, Action, Adventure, Drama, Action, Adventure, Drama",7.7,54.23
2329,Harry Potter and the Sorcerer's Stone,2001,152,"Adventure, Family, Fantasy, Adventure, Family, Fantasy, Adventure, Family, Fantasy",7.6,317.58
2487,I Am Sam,2001,132,Drama,7.6,40.31
1932,Black Hawk Down,2001,144,"Action, Drama, History, Action, Drama, History, Action, Drama, History",7.7,108.64
1491,No Man's Land,2001,98,"Comedy, Drama, War, Comedy, Drama, War, Comedy, Drama, War",7.9,1.06
1102,My Sassy Girl,2001,137,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",8.0,0.0
2346,The Royal Tenenbaums,2001,110,"Comedy, Drama, Comedy, Drama",7.6,52.36
894,Donnie Darko,2001,113,"Drama, Mystery, Sci-Fi, Drama, Mystery, Sci-Fi, Drama, Mystery, Sci-Fi",8.0,1.48
2301,The Experiment,2001,120,"Drama, Thriller, Drama, Thriller",7.7,0.14
1853,Cowboy Bebop: The Movie,2001,115,"Animation, Action, Crime, Animation, Action, Crime, Animation, Action, Crime",7.8,1.0
24,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action, Adventure, Drama, Action, Adventure, Drama, Action, Adventure, Drama",8.8,315.54
1891,Millennium Actress,2001,87,"Animation, Drama, Fantasy, Animation, Drama, Fantasy, Animation, Drama, Fantasy",7.8,0.19
2024,Training Day,2001,122,"Action, Crime, Drama, Action, Crime, Drama, Action, Crime, Drama",7.7,76.63
1935,Ocean's Eleven,2001,116,"Crime, Thriller, Crime, Thriller",7.7,183.42
73,Spirited Away,2001,125,"Animation, Adventure, Family, Animation, Adventure, Family, Animation, Adventure, Family",8.6,10.06
1237,Shrek,2001,90,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",7.9,267.67
594,"Monsters, Inc.",2001,92,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",8.1,289.92
1953,And Your Mother Too,2001,106,Drama,7.7,13.62
1175,Vizontele,2001,110,"Comedy, Drama, Comedy, Drama",8.0,0.0
2387,The Others,2001,104,"Horror, Mystery, Thriller, Horror, Mystery, Thriller, Horror, Mystery, Thriller",7.6,96.52
275,Amélie,2001,122,"Comedy, Romance, Comedy, Romance",8.3,33.23
2245,Hedwig and the Angry Inch,2001,95,"Comedy, Drama, Music, Comedy, Drama, Music, Comedy, Drama, Music",7.7,3.03
1204,Mulholland Drive,2001,147,"Drama, Mystery, Thriller, Drama, Mystery, Thriller, Drama, Mystery, Thriller",7.9,7.22
402,A Beautiful Mind,2001,135,"Biography, Drama, Biography, Drama",8.2,170.74
2230,Waking Life,2001,99,"Animation, Drama, Fantasy, Animation, Drama, Fantasy, Animation, Drama, Fantasy",7.7,2.89
769,Dil Chahta Hai,2001,183,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",8.1,0.3
746,Lagaan: Once Upon a Time in India,2001,224,"Drama, Musical, Sport, Drama, Musical, Sport, Drama, Musical, Sport",8.1,0.07
744,Yi Yi: A One and a Two...,2000,173,"Drama, Romance, Drama, Romance",8.1,1.14
386,Snatch,2000,102,"Comedy, Crime, Comedy, Crime",8.2,30.33
645,In the Mood for Love,2000,98,"Drama, Romance, Drama, Romance",8.1,2.73
692,Amores Perros,2000,154,"Drama, Thriller, Drama, Thriller",8.1,5.38
1474,Nine Queens,2000,114,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",7.9,1.22
840,Hera Pheri,2000,156,"Action, Comedy, Crime, Action, Comedy, Crime, Action, Comedy, Crime",8.1,0.0
1644,Cast Away,2000,143,"Adventure, Drama, Romance, Adventure, Drama, Romance, Adventure, Drama, Romance",7.8,233.63
2033,"O Brother, Where Art Thou?",2000,107,"Adventure, Comedy, Crime, Adventure, Comedy, Crime, Adventure, Comedy, Crime",7.7,45.51
2149,Billy Elliot,2000,110,"Drama, Music, Drama, Music",7.7,22.0
240,Requiem for a Dream,2000,102,Drama,8.3,3.64
2251,Joint Security Area,2000,110,"Action, Drama, Thriller, Action, Drama, Thriller, Action, Drama, Thriller",7.7,0.0
1628,Remember the Titans,2000,113,"Biography, Drama, Sport, Biography, Drama, Sport, Biography, Drama, Sport",7.8,115.65
100,Gladiator,2000,155,"Action, Adventure, Drama, Action, Adventure, Drama, Action, Adventure, Drama",8.5,187.71
179,Memento,2000,113,"Mystery, Thriller, Mystery, Thriller",8.4,25.54
1312,"Crouching Tiger, Hidden Dragon",2000,120,"Action, Adventure, Drama, Action, Adventure, Drama, Action, Adventure, Drama",7.9,128.08
1220,Almost Famous,2000,122,"Adventure, Comedy, Drama, Adventure, Comedy, Drama, Adventure, Comedy, Drama",7.9,32.53
2334,American Psycho,2000,102,"Crime, Drama, Horror, Crime, Drama, Horror, Crime, Drama, Horror",7.6,15.07
1366,Dancer in the Dark,2000,140,"Crime, Drama, Musical, Crime, Drama, Musical, Crime, Drama, Musical",7.9,4.18
1726,The Insider,1999,157,"Biography, Drama, Thriller, Biography, Drama, Thriller, Biography, Drama, Thriller",7.8,28.97
830,Sarfarosh,1999,174,"Action, Drama, Thriller, Action, Drama, Thriller, Action, Drama, Thriller",8.1,0.0
57,The Green Mile,1999,189,"Crime, Drama, Fantasy, Crime, Drama, Fantasy, Crime, Drama, Fantasy",8.6,136.8
950,Magnolia,1999,188,Drama,8.0,22.46
1051,The Straight Story,1999,112,"Biography, Drama, Biography, Drama",8.0,6.2
49,The Matrix,1999,136,"Action, Sci-Fi, Action, Sci-Fi",8.7,171.48
2152,"South Park: Bigger, Longer & Uncut",1999,81,"Animation, Comedy, Fantasy, Animation, Comedy, Fantasy, Animation, Comedy, Fantasy",7.7,52.04
243,American Beauty,1999,122,Drama,8.3,130.1
2119,Being John Malkovich,1999,113,"Comedy, Drama, Fantasy, Comedy, Drama, Fantasy, Comedy, Drama, Fantasy",7.7,22.86
404,The Sixth Sense,1999,107,"Drama, Mystery, Thriller, Drama, Mystery, Thriller, Drama, Mystery, Thriller",8.2,293.51
1273,Toy Story 2,1999,92,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",7.9,245.85
27,Fight Club,1999,139,Drama,8.8,37.03
1764,October Sky,1999,108,"Biography, Drama, Family, Biography, Drama, Family, Biography, Drama, Family",7.8,32.48
