,title,release_year,runtime_min,genre,rating,gross_usd_mil
1704,Kiki's Delivery Service,1989,103,"Animation, Family, Fantasy, Animation, Family, Fantasy, Animation, Family, Fantasy",7.8,0.0
1860,The Killer,1989,111,"Action, Crime, Drama, Action, Crime, Drama, Action, Crime, Drama",7.8,0.0
1875,Crimes and Misdemeanors,1989,104,"Comedy, Drama, Comedy, Drama",7.8,18.25
1611,Back to the Future Part II,1989,108,"Adventure, Comedy, Sci-Fi, Adventure, Comedy, Sci-Fi, Adventure, Comedy, Sci-Fi",7.8,118.5
353,Indiana Jones and the Last Crusade,1989,127,"Action, Adventure, Action, Adventure",8.2,197.17
1671,Glory,1989,122,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",7.8,26.83
1767,My Left Foot,1989,103,"Biography, Drama, Biography, Drama",7.8,14.74
597,Dead Poets Society,1989,128,"Comedy, Drama, Comedy, Drama",8.1,95.86
2076,When Harry Met Sally...,1989,95,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",7.7,92.82
886,Do the Right Thing,1989,120,"Comedy, Drama, Comedy, Drama",8.0,27.55
139,Cinema Paradiso,1988,155,"Drama, Romance, Drama, Romance",8.5,11.99
932,Rain Man,1988,133,Drama,8.0,178.8
409,Die Hard,1988,132,"Action, Thriller, Action, Thriller",8.2,83.01
1701,Mississippi Burning,1988,128,"Crime, Drama, Mystery, Crime, Drama, Mystery, Crime, Drama, Mystery",7.8,34.6
134,Grave of the Fireflies,1988,89,"Animation, Drama, War, Animation, Drama, War, Animation, Drama, War",8.5,0.0
962,Akira,1988,124,"Animation, Action, Drama, Animation, Action, Drama, Animation, Action, Drama",8.0,0.55
2494,The Naked Gun: From the Files of Police Squad!,1988,85,"Comedy, Crime, Comedy, Crime",7.6,78.76
1954,Who Framed Roger Rabbit,1988,104,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",7.7,156.45
2203,The Vanishing,1988,107,"Mystery, Thriller, Mystery, Thriller",7.7,0.0
821,Time of the Gypsies,1988,142,"Comedy, Crime, Drama, Comedy, Crime, Drama, Comedy, Crime, Drama",8.1,0.28
642,My Neighbor Totoro,1988,86,"Animation, Comedy, Family, Animation, Comedy, Family, Animation, Comedy, Family",8.1,1.11
1065,Wings of Desire,1987,128,"Drama, Fantasy, Romance, Drama, Fantasy, Romance, Drama, Fantasy, Romance",8.0,3.33
1635,The Untouchables,1987,119,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",7.8,76.27
256,Full Metal Jacket,1987,116,"Drama, War, Drama, War",8.3,46.36
2367,RoboCop,1987,102,"Action, Crime, Sci-Fi, Action, Crime, Sci-Fi, Action, Crime, Sci-Fi",7.6,53.42
2169,The Last Emperor,1987,163,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",7.7,43.98
2094,Empire of the Sun,1987,153,"Drama, War, Drama, War",7.7,22.24
1129,"Goodbye, Children",1987,104,"Drama, War, Drama, War",8.0,4.54
1562,Predator,1987,107,"Action, Adventure, Horror, Action, Adventure, Horror, Action, Adventure, Horror",7.8,59.74
2454,Lethal Weapon,1987,109,"Action, Crime, Thriller, Action, Crime, Thriller, Action, Crime, Thriller",7.6,65.21
873,The Princess Bride,1987,98,"Adventure, Comedy, Family, Adventure, Comedy, Family, Adventure, Comedy, Family",8.0,30.86
2013,Evil Dead II,1987,84,"Comedy, Horror, Comedy, Horror",7.7,5.92
1995,Blue Velvet,1986,120,"Crime, Drama, Mystery, Crime, Drama, Mystery, Crime, Drama, Mystery",7.7,8.55
1572,Ferris Bueller's Day Off,1986,103,Comedy,7.8,70.14
1023,Castle in the Sky,1986,125,"Animation, Adventure, Family, Animation, Adventure, Family, Animation, Adventure, Family",8.0,0.0
810,Jean de Florette,1986,120,"Comedy, Drama, Comedy, Drama",8.1,4.94
1435,The Sacrifice,1986,149,Drama,7.9,0.3
1834,Hannah and Her Sisters,1986,107,"Comedy, Drama, Comedy, Drama",7.8,40.08
2214,Down by Law,1986,107,"Comedy, Crime, Drama, Comedy, Crime, Drama, Comedy, Crime, Drama",7.7,1.44
162,Aliens,1986,137,"Action, Adventure, Sci-Fi, Action, Adventure, Sci-Fi, Action, Adventure, Sci-Fi",8.4,85.16
569,Stand by Me,1986,89,"Adventure, Drama, Adventure, Drama",8.1,52.29
2146,The Name of the Rose,1986,130,"Drama, Mystery, Thriller, Drama, Mystery, Thriller, Drama, Mystery, Thriller",7.7,7.15
2436,The Fly,1986,96,"Drama, Horror, Sci-Fi, Drama, Horror, Sci-Fi, Drama, Horror, Sci-Fi",7.6,40.46
624,Platoon,1986,120,"Drama, War, Drama, War",8.1,138.53
1917,The Goonies,1985,114,"Adventure, Comedy, Family, Adventure, Comedy, Family, Adventure, Comedy, Family",7.7,61.5
2463,After Hours,1985,97,"Comedy, Crime, Drama, Comedy, Crime, Drama, Comedy, Crime, Drama",7.6,10.6
187,Come and See,1985,142,"Drama, Thriller, War, Drama, Thriller, War, Drama, Thriller, War",8.4,0.0
2318,The Purple Rose of Cairo,1985,82,"Comedy, Fantasy, Romance, Comedy, Fantasy, Romance, Comedy, Fantasy, Romance",7.7,10.63
445,Ran,1985,162,"Action, Drama, War, Action, Drama, War, Action, Drama, War",8.2,4.14
1514,The Breakfast Club,1985,97,"Comedy, Drama, Comedy, Drama",7.8,45.88
92,Back to the Future,1985,116,"Adventure, Comedy, Sci-Fi, Adventure, Comedy, Sci-Fi, Adventure, Comedy, Sci-Fi",8.5,210.61
1293,Brazil,1985,132,"Drama, Sci-Fi, Drama, Sci-Fi",7.9,9.93
2072,The Color Purple,1985,154,Drama,7.7,98.47
537,The Terminator,1984,107,"Action, Sci-Fi, Action, Sci-Fi",8.1,38.4
673,"Paris, Texas",1984,145,Drama,8.1,2.18
1761,The Killing Fields,1984,141,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",7.8,34.7
261,Once Upon a Time in America,1984,229,"Crime, Drama, Crime, Drama",8.3,5.32
1285,This Is Spinal Tap,1984,82,"Comedy, Music, Comedy, Music",7.9,4.74
181,Amadeus,1984,160,"Biography, Drama, Music, Biography, Drama, Music, Biography, Drama, Music",8.4,51.97
1553,Ghostbusters,1984,105,"Action, Comedy, Fantasy, Action, Comedy, Fantasy, Action, Comedy, Fantasy",7.8,238.63
1016,Nausicaä of the Valley of the Wind,1984,117,"Animation, Adventure, Sci-Fi, Animation, Adventure, Sci-Fi, Animation, Adventure, Sci-Fi",8.0,0.5
1105,Nostalghia,1983,125,Drama,8.0,0.01
241,Scarface,1983,170,"Crime, Drama, Action, Crime, Drama, Crime, Drama, Action, Crime, Drama, Crime, Drama, Action, Crime, Drama, Crime, Drama, Action, Crime, Drama, Crime, Drama, Action, Crime, Drama",8.3,45.6
1677,The Right Stuff,1983,193,"Adventure, Biography, Drama, Adventure, Biography, Drama, Adventure, Biography, Drama",7.8,21.5
272,Star Wars: Episode VI - Return of the Jedi,1983,131,"Action, Adventure, Fantasy, Action, Adventure, Fantasy, Action, Adventure, Fantasy",8.3,309.13
1375,A Christmas Story,1983,93,"Comedy, Family, Comedy, Family",7.9,20.61
2324,Zelig,1983,79,Comedy,7.7,11.8
554,Blade Runner,1982,117,"Action, Drama, Sci-Fi, Action, Drama, Sci-Fi, Action, Drama, Sci-Fi",8.1,32.87
1026,Pink Floyd: The Wall,1982,95,"Drama, Fantasy, Music, Drama, Fantasy, Music, Drama, Fantasy, Music",8.0,22.24
1044,Fitzcarraldo,1982,158,"Adventure, Drama, Adventure, Drama",8.0,0.0
1029,Gandhi,1982,191,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",8.0,52.77
1229,E.T. the Extra-Terrestrial,1982,115,"Adventure, Family, Sci-Fi, Adventure, Family, Sci-Fi, Adventure, Family, Sci-Fi",7.9,435.11
2015,Star Trek II: The Wrath of Khan,1982,113,"Action, Adventure, Sci-Fi, Action, Adventure, Sci-Fi, Action, Adventure, Sci-Fi",7.7,78.91
728,Fanny and Alexander,1982,188,Drama,8.1,4.97
2036,First Blood,1982,93,"Action, Adventure, Thriller, Action, Adventure, Thriller, Action, Adventure, Thriller",7.7,47.21
383,The Thing,1982,109,"Horror, Mystery, Sci-Fi, Horror, Mystery, Sci-Fi, Horror, Mystery, Sci-Fi",8.2,13.78
1719,The King of Comedy,1982,109,"Comedy, Crime, Drama, Comedy, Crime, Drama, Comedy, Crime, Drama",7.8,2.5
2158,The Verdict,1982,129,Drama,7.7,54.0
152,Indiana Jones and the Raiders of the Lost Ark,1981,115,"Action, Adventure, Action, Adventure",8.4,248.16
196,Das Boot,1981,149,"Drama, War, Drama, War",8.4,11.49
2439,The Road Warrior,1981,96,"Action, Adventure, Sci-Fi, Action, Adventure, Sci-Fi, Action, Adventure, Sci-Fi",7.6,12.47
1445,Kagemusha,1980,162,"Drama, History, War, Drama, History, War, Drama, History, War",7.9,0.0
437,The Elephant Man,1980,124,"Biography, Drama, Biography, Drama",8.2,0.0
639,Raging Bull,1980,129,"Biography, Drama, Sport, Biography, Drama, Sport, Biography, Drama, Sport",8.1,23.38
165,The Shining,1980,146,"Drama, Horror, Drama, Horror",8.4,44.02
1957,Airplane!,1980,88,Comedy,7.7,83.4
52,Star Wars: Episode V - The Empire Strikes Back,1980,124,"Action, Adventure, Fantasy, Action, Adventure, Fantasy, Action, Adventure, Fantasy",8.7,290.48
1246,The Blues Brothers,1980,133,"Action, Adventure, Comedy, Action, Adventure, Comedy, Action, Adventure, Comedy",7.9,57.23
2141,Ordinary People,1980,124,Drama,7.7,54.8
1750,Kramer vs. Kramer,1979,105,Drama,7.8,106.26
666,Stalker,1979,162,"Drama, Sci-Fi, Drama, Sci-Fi",8.1,0.23
1707,All That Jazz,1979,123,"Drama, Music, Musical, Drama, Music, Musical, Drama, Music, Musical",7.8,37.82
1803,Manhattan,1979,96,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",7.8,45.7
98,Alien,1979,117,"Horror, Sci-Fi, Horror, Sci-Fi",8.5,78.9
977,Life of Brian,1979,94,Comedy,8.0,20.05
994,Being There,1979,130,"Comedy, Drama, Comedy, Drama",8.0,30.18
167,Apocalypse Now,1979,147,"Drama, Mystery, War, Drama, Mystery, War, Drama, Mystery, War",8.4,83.47
1729,Dawn of the Dead,1978,127,"Horror, Thriller, Horror, Thriller",7.8,5.1
790,Autumn Sonata,1978,99,"Drama, Music, Drama, Music",8.1,0.0
557,The Deer Hunter,1978,183,"Drama, War, Drama, War",8.1,48.98
2039,Halloween,1978,91,"Horror, Thriller, Horror, Thriller",7.7,47.0
1759,Days of Heaven,1978,94,"Drama, Romance, Drama, Romance",7.8,0.0
70,Star Wars: Episode IV - A New Hope,1977,121,"Action, Adventure, Fantasy, Action, Adventure, Fantasy, Action, Adventure, Fantasy",8.6,322.74
1009,Annie Hall,1977,93,"Comedy, Romance, Comedy, Romance",8.0,39.2
1700,The Outlaw Josey Wales,1976,135,Western,7.8,31.8
577,Rocky,1976,120,"Drama, Sport, Drama, Sport",8.1,117.24
370,Taxi Driver,1976,114,"Crime, Drama, Crime, Drama",8.2,28.26
749,The Message,1976,177,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",8.1,0.0
1270,All the President's Men,1976,138,"Drama, History, Thriller, Drama, History, Thriller, Drama, History, Thriller",7.9,70.6
668,Network,1976,121,Drama,8.1,0.0
654,Barry Lyndon,1975,185,"Adventure, Drama, War, Adventure, Drama, War, Adventure, Drama, War",8.1,0.0
1851,The Man Who Would Be King,1975,129,"Adventure, War, Adventure, War",7.8,0.0
933,Dog Day Afternoon,1975,125,"Biography, Crime, Drama, Biography, Crime, Drama, Biography, Crime, Drama",8.0,50.0
531,Jaws,1975,124,"Adventure, Mystery, Thriller, Adventure, Mystery, Thriller, Adventure, Mystery, Thriller",8.1,260.0
51,One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7,112.0
509,Dersu Uzala,1975,142,"Adventure, Biography, Drama, Adventure, Biography, Drama, Adventure, Biography, Drama",8.2,0.0
1073,Mirror,1975,107,"Biography, Drama, Biography, Drama",8.0,0.18
807,Sholay,1975,162,"Action, Adventure, Comedy, Action, Adventure, Comedy, Action, Adventure, Comedy",8.1,0.0
419,Monty Python and the Holy Grail,1975,91,"Adventure, Comedy, Fantasy, Adventure, Comedy, Fantasy, Adventure, Comedy, Fantasy",8.2,1.23
2303,Love and Death,1975,85,"Comedy, War, Comedy, War",7.7,0.0
2512,The Taking of Pelham One Two Three,1974,104,"Action, Crime, Thriller, Action, Crime, Thriller, Action, Crime, Thriller",7.6,2.49
940,Young Frankenstein,1974,106,Comedy,8.0,86.3
11,The Godfather Part II,1974,202,"Crime, Drama, Crime, Drama",9.0,57.3
1744,The Conversation,1974,113,"Drama, Mystery, Thriller, Drama, Mystery, Thriller, Drama, Mystery, Thriller",7.8,4.42
697,A Woman Under the Influence,1974,155,"Drama, Romance, Drama, Romance",8.1,13.34
422,Chinatown,1974,130,"Drama, Mystery, Thriller, Drama, Mystery, Thriller, Drama, Mystery, Thriller",8.2,8.49
1930,Blazing Saddles,1974,93,"Comedy, Western, Comedy, Western",7.7,119.5
1787,The Day of the Jackal,1973,143,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",7.8,16.06
2457,Enter the Dragon,1973,102,"Action, Crime, Thriller, Action, Crime, Thriller, Action, Crime, Thriller",7.6,25.0
2186,Fantastic Planet,1973,72,"Animation, Sci-Fi, Animation, Sci-Fi",7.7,0.19
1665,The Holy Mountain,1973,114,"Adventure, Drama, Fantasy, Adventure, Drama, Fantasy, Adventure, Drama, Fantasy",7.8,0.06
1032,Papillon,1973,151,"Biography, Crime, Drama, Biography, Crime, Drama, Biography, Crime, Drama",8.0,53.27
1448,I Remember,1973,123,"Comedy, Drama, Comedy, Drama",7.9,0.58
2030,Badlands,1973,94,"Action, Crime, Drama, Action, Crime, Drama, Action, Crime, Drama",7.7,0.0
710,Paper Moon,1973,102,"Comedy, Crime, Drama, Comedy, Crime, Drama, Comedy, Crime, Drama",8.1,30.93
293,The Sting,1973,129,"Comedy, Crime, Drama, Comedy, Crime, Drama, Comedy, Crime, Drama",8.3,159.6
565,The Exorcist,1973,122,Horror,8.1,232.91
2136,Serpico,1973,130,"Biography, Crime, Drama, Biography, Crime, Drama, Biography, Crime, Drama",7.7,29.8
1775,"Aguirre, the Wrath of God",1972,95,"Action, Adventure, Biography, Action, Adventure, Biography, Action, Adventure, Biography",7.8,0.0
1119,Sleuth,1972,138,"Mystery, Thriller, Mystery, Thriller",8.0,4.08
1035,Solaris,1972,167,"Drama, Mystery, Sci-Fi, Drama, Mystery, Sci-Fi, Drama, Mystery, Sci-Fi",8.0,0.0
1756,Cabaret,1972,124,"Drama, Music, Musical, Drama, Music, Musical, Drama, Music, Musical",7.8,42.77
2018,Deliverance,1972,109,"Adventure, Drama, Thriller, Adventure, Drama, Thriller, Adventure, Drama, Thriller",7.7,7.06
1,The Godfather,1972,175,"Crime, Drama, Crime, Drama",9.2,134.97
1118,Cries & Whispers,1972,91,Drama,8.0,1.74
1884,The Discreet Charm of the Bourgeoisie,1972,102,Comedy,7.8,0.2
1631,Willy Wonka & the Chocolate Factory,1971,100,"Family, Fantasy, Musical, Family, Fantasy, Musical, Family, Fantasy, Musical",7.8,4.0
857,Anand,1971,122,"Drama, Musical, Drama, Musical",8.1,0.0
1360,Harold and Maude,1971,91,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",7.9,0.0
2099,Dirty Harry,1971,102,"Action, Crime, Thriller, Action, Crime, Thriller, Action, Crime, Thriller",7.7,35.9
1021,The Last Picture Show,1971,118,"Drama, Romance, Drama, Romance",8.0,29.13
1981,The French Connection,1971,104,"Action, Crime, Drama, Action, Crime, Drama, Action, Crime, Drama",7.7,15.63
249,A Clockwork Orange,1971,136,"Crime, Sci-Fi, Crime, Sci-Fi",8.3,6.21
917,Fiddler on the Roof,1971,181,"Drama, Family, Musical, Drama, Family, Musical, Drama, Family, Musical",8.0,80.5
1389,Patton,1970,172,"Biography, Drama, War, Biography, Drama, War, Biography, Drama, War",7.9,61.7
1414,The Conformist,1970,113,Drama,7.9,0.54
1483,The Red Circle,1970,140,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",7.9,0.37
1329,The Wild Bunch,1969,135,"Action, Adventure, Drama, Action, Adventure, Drama, Action, Adventure, Drama",7.9,12.06
1661,Midnight Cowboy,1969,113,Drama,7.8,44.79
480,Z,1969,127,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",8.2,0.08
981,Butch Cassidy and the Sundance Kid,1969,110,"Biography, Crime, Drama, Biography, Crime, Drama, Biography, Crime, Drama",8.0,102.31
251,2001: A Space Odyssey,1968,149,"Adventure, Sci-Fi, Adventure, Sci-Fi",8.3,56.95
965,Rosemary's Baby,1968,137,"Drama, Horror, Drama, Horror",8.0,0.0
967,Planet of the Apes,1968,112,"Adventure, Sci-Fi, Adventure, Sci-Fi",8.0,33.4
133,Once Upon a Time in the West,1968,165,Western,8.5,5.32
1323,The Lion in Winter,1968,134,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",7.9,22.28
1754,Night of the Living Dead,1968,96,"Horror, Thriller, Horror, Thriller",7.8,0.09
1731,Guess Who's Coming to Dinner,1967,108,"Comedy, Drama, Comedy, Drama",7.8,56.7
2451,The Jungle Book,1967,78,"Animation, Adventure, Comedy, Animation, Adventure, Comedy, Animation, Adventure, Comedy",7.6,141.84
2275,Wait Until Dark,1967,108,Thriller,7.7,17.55
941,The Graduate,1967,106,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",8.0,104.95
647,Cool Hand Luke,1967,127,"Crime, Drama, Crime, Drama",8.1,16.22
1082,Le Samouraï,1967,101,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",8.0,0.04
2102,The Dirty Dozen,1967,150,"Action, Adventure, War, Action, Adventure, War, Action, Adventure, War",7.7,45.3
1426,In Cold Blood,1967,134,"Biography, Crime, Drama, Biography, Crime, Drama, Biography, Crime, Drama",7.9,0.0
1317,In the Heat of the Night,1967,110,"Drama, Mystery, Thriller, Drama, Mystery, Thriller, Drama, Mystery, Thriller",7.9,24.38
2178,Belle de Jour,1967,100,"Drama, Romance, Drama, Romance",7.7,0.03
2143,Bonnie and Clyde,1967,111,"Action, Biography, Crime, Action, Biography, Crime, Action, Biography, Crime",7.7,0.0
759,The Battle of Algiers,1966,121,"Drama, War, Drama, War",8.1,0.06
690,Persona,1966,83,"Drama, Thriller, Drama, Thriller",8.1,0.0
735,Andrei Rublev,1966,205,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",8.1,0.1
1053,Who's Afraid of Virginia Woolf?,1966,131,Drama,8.0,0.0
2233,A Man for All Seasons,1966,120,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",7.7,28.35
30,"The Good, the Bad and the Ugly",1966,178,"Adventure, Western, Adventure, Western",8.8,6.1
616,The Sound of Music,1965,172,"Biography, Drama, Family, Biography, Drama, Family, Biography, Drama, Family",8.1,163.21
448,For a Few Dollars More,1965,132,"Drama, Western, Drama, Western",8.2,15.0
1338,Doctor Zhivago,1965,197,"Drama, Romance, War, Drama, Romance, War, Drama, Romance, War",7.9,111.72
1747,My Fair Lady,1964,170,"Drama, Family, Musical, Drama, Family, Musical, Drama, Family, Musical",7.8,72.0
2208,Zulu,1964,138,"Drama, History, War, Drama, History, War, Drama, History, War",7.7,0.0
1662,Mary Poppins,1964,139,"Comedy, Family, Fantasy, Comedy, Family, Fantasy, Comedy, Family, Fantasy",7.8,102.27
1306,A Fistful of Dollars,1964,99,"Action, Drama, Western, Action, Drama, Western, Action, Drama, Western",7.9,14.5
1845,The Umbrellas of Cherbourg,1964,91,"Drama, Musical, Romance, Drama, Musical, Romance, Drama, Musical, Romance",7.8,0.03
2122,Goldfinger,1964,110,"Action, Adventure, Thriller, Action, Adventure, Thriller, Action, Adventure, Thriller",7.7,51.08
201,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,"Comedy, War, Comedy, War",8.4,0.28
2415,The Birds,1963,119,"Drama, Horror, Mystery, Drama, Horror, Mystery, Drama, Horror, Mystery",7.6,11.4
1346,Charade,1963,113,"Comedy, Mystery, Romance, Comedy, Mystery, Romance, Comedy, Mystery, Romance",7.9,13.47
1019,8½,1963,138,"Biography, Drama, Biography, Drama",8.0,0.05
411,The Great Escape,1963,172,"Adventure, Drama, History, Adventure, Drama, History, Adventure, Drama, History",8.2,12.1
1162,Winter Light,1963,81,Drama,8.0,0.0
216,High and Low,1963,143,"Crime, Drama, Mystery, Crime, Drama, Mystery, Crime, Drama, Mystery",8.4,0.0
1068,The Leopard,1963,186,"Drama, History, Drama, History",8.0,0.0
1349,The Manchurian Candidate,1962,126,"Drama, Thriller, Drama, Thriller",7.9,0.0
2314,Jules and Jim,1962,105,"Drama, Romance, Drama, Romance",7.7,0.0
699,The Man Who Shot Liberty Valance,1962,123,"Drama, Western, Drama, Western",8.1,0.0
1138,Sanjuro,1962,96,"Action, Drama, Thriller, Action, Drama, Thriller, Action, Drama, Thriller",8.0,0.0
238,To Kill a Mockingbird,1962,129,"Crime, Drama, Crime, Drama",8.3,0.0
2110,The Longest Day,1962,178,"Action, Drama, History, Action, Drama, History, Action, Drama, History",7.7,39.1
1883,Vivre Sa Vie,1962,85,Drama,7.8,0.0
86,Harakiri,1962,133,"Action, Drama, Mystery, Action, Drama, Mystery, Action, Drama, Mystery",8.6,0.0
282,Lawrence of Arabia,1962,218,"Adventure, Biography, Drama, Adventure, Biography, Drama, Adventure, Biography, Drama",8.3,44.82
1131,The Exterminating Angel,1962,95,"Drama, Fantasy, Drama, Fantasy",8.0,0.0
947,What Ever Happened to Baby Jane?,1962,134,"Drama, Horror, Thriller, Drama, Horror, Thriller, Drama, Horror, Thriller",8.0,4.05
1124,Ivan's Childhood,1962,95,"Drama, War, Drama, War",8.0,0.0
2259,Cape Fear,1962,106,"Drama, Thriller, Drama, Thriller",7.7,0.0
472,Yojimbo,1961,110,"Action, Drama, Thriller, Action, Drama, Thriller, Action, Drama, Thriller",8.2,0.0
318,Judgment at Nuremberg,1961,179,"Drama, War, Drama, War",8.3,0.0
1495,Through a Glass Darkly,1961,90,Drama,7.9,0.0
1078,The Hustler,1961,134,"Drama, Sport, Drama, Sport",8.0,8.28
1859,The Innocents,1961,100,Horror,7.8,2.62
818,The Virgin Spring,1960,89,Drama,8.1,1.53
306,The Apartment,1960,125,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",8.3,18.6
1927,The Magnificent Seven,1960,128,"Action, Adventure, Drama, Action, Adventure, Drama, Action, Adventure, Drama",7.7,4.91
1872,L'Avventura,1960,144,"Drama, Mystery, Romance, Drama, Mystery, Romance, Drama, Mystery, Romance",7.8,0.0
127,Psycho,1960,109,"Horror, Mystery, Thriller, Horror, Mystery, Thriller, Horror, Mystery, Thriller",8.5,32.0
2219,Breathless,1960,90,"Crime, Drama, Crime, Drama",7.7,0.34
1046,La Dolce Vita,1960,174,"Comedy, Drama, Comedy, Drama",8.0,19.52
1287,Spartacus,1960,197,"Adventure, Biography, Drama, Adventure, Biography, Drama, Adventure, Biography, Drama",7.9,30.0
663,Inherit the Wind,1960,128,"Biography, Drama, History, Biography, Drama, History, Biography, Drama, History",8.1,0.0
288,North by Northwest,1959,136,"Action, Adventure, Mystery, Action, Adventure, Mystery, Action, Adventure, Mystery",8.3,13.28
1014,Rio Bravo,1959,141,"Drama, Western, Drama, Western",8.0,12.54
729,The 400 Blows,1959,99,"Crime, Drama, Crime, Drama",8.1,0.0
679,Ben-Hur,1959,212,"Adventure, Drama, Adventure, Drama",8.1,74.7
1054,Anatomy of a Murder,1959,161,"Drama, Mystery, Drama, Mystery",8.0,11.9
1465,Hiroshima Mon Amour,1959,90,"Drama, Romance, Drama, Romance",7.9,0.09
439,Some Like It Hot,1959,121,"Comedy, Music, Romance, Comedy, Music, Romance, Comedy, Music, Romance",8.2,25.0
298,Vertigo,1958,128,"Mystery, Romance, Thriller, Mystery, Romance, Thriller, Mystery, Romance, Thriller",8.3,3.2
761,The Hidden Fortress,1958,126,"Action, Adventure, Drama, Action, Adventure, Drama, Action, Adventure, Drama",8.1,0.0
1401,Cat on a Hot Tin Roof,1958,108,Drama,7.9,17.57
1457,Elevator to the Gallows,1958,91,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",7.9,0.11
1062,Touch of Evil,1958,95,"Crime, Drama, Film-Noir, Crime, Drama, Film-Noir, Crime, Drama, Film-Noir",8.0,2.24
210,Witness for the Prosecution,1957,116,"Crime, Drama, Mystery, Crime, Drama, Mystery, Crime, Drama, Mystery",8.4,8.18
674,The Seventh Seal,1957,96,"Drama, Fantasy, Drama, Fantasy",8.1,0.0
9,12 Angry Men,1957,96,"Crime, Drama, Crime, Drama",9.0,4.36
758,Throne of Blood,1957,110,Drama,8.1,0.0
208,Paths of Glory,1957,88,"Drama, War, Drama, War",8.4,0.0
798,Nights of Cabiria,1957,110,Drama,8.1,0.75
731,Wild Strawberries,1957,91,"Drama, Romance, Drama, Romance",8.1,0.0
1080,Sweet Smell of Success,1957,96,"Drama, Film-Noir, Drama, Film-Noir",8.0,0.0
687,The Bridge on the River Kwai,1957,161,"Adventure, Drama, War, Adventure, Drama, War, Adventure, Drama, War",8.1,44.91
2248,Invasion of the Body Snatchers,1956,80,"Drama, Horror, Sci-Fi, Drama, Horror, Sci-Fi, Drama, Horror, Sci-Fi",7.7,0.0
1300,The Ten Commandments,1956,220,"Adventure, Drama, Family, Adventure, Drama, Family, Adventure, Drama, Family",7.9,93.74
1380,The Killing,1956,84,"Crime, Drama, Film-Noir, Crime, Drama, Film-Noir, Crime, Drama, Film-Noir",7.9,0.0
1290,The Searchers,1956,119,"Adventure, Drama, Western, Adventure, Drama, Western, Adventure, Drama, Western",7.9,0.0
505,Pather Panchali,1955,125,Drama,8.2,0.54
1048,The Night of the Hunter,1955,92,"Crime, Drama, Film-Noir, Crime, Drama, Film-Noir, Crime, Drama, Film-Noir",8.0,0.65
784,Diabolique,1955,117,"Crime, Drama, Horror, Crime, Drama, Horror, Crime, Drama, Horror",8.1,1.09
1802,East of Eden,1955,118,Drama,7.8,0.0
815,Rififi,1955,118,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",8.1,0.06
2493,Rebel Without a Cause,1955,111,Drama,7.6,0.0
137,Rear Window,1954,112,"Mystery, Thriller, Mystery, Thriller",8.5,36.76
681,On the Waterfront,1954,108,"Crime, Drama, Thriller, Crime, Drama, Thriller, Crime, Drama, Thriller",8.1,9.6
2490,Sabrina,1954,113,"Comedy, Drama, Romance, Comedy, Drama, Romance, Comedy, Drama, Romance",7.6,0.0
1126,La strada,1954,108,Drama,8.0,0.0
81,Seven Samurai,1954,207,"Action, Drama, Action, Drama",8.6,0.27
460,Dial M for Murder,1954,105,"Crime, Thriller, Crime, Thriller",8.2,0.01
2290,The Caine Mutiny,1954,124,"Drama, War, Drama, War",7.7,21.75
483,Tokyo Story,1953,136,Drama,8.2,0.0
1467,The Big Heat,1953,89,"Crime, Film-Noir, Thriller, Crime, Film-Noir, Thriller, Crime, Film-Noir, Thriller",7.9,0.0
1097,Stalag 17,1953,120,"Comedy, Drama, War, Comedy, Drama, War, Comedy, Drama, War",8.0,0.0
2481,From Here to Eternity,1953,118,"Drama, Romance, War, Drama, Romance, War, Drama, Romance, War",7.6,30.5
